,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
130,Busselton,36,AU,1536906927,100,-33.64,115.35,58.34,19.46
131,Cidreira,92,BR,1536906927,92,-30.17,-50.22,62.3,10.18
132,Ucluelet,92,CA,1536906927,100,48.94,-125.55,50.42,1.9
133,Yuanping,20,CN,1536906927,75,38.72,112.71,65.99,3.02
134,Marawi,76,PH,1536906928,97,8,124.29,70.31,6.82
135,Jeremie,0,HT,1536906928,98,18.65,-74.12,79.04,3.58
138,Karakol,0,KG,1536906929,54,42.49,78.39,54.38,2.8
139,Vila Franca do Campo,20,PT,1536904800,77,37.72,-25.43,69.8,3.36
140,Nova Olimpia,36,BR,1536906929,83,-14.8,-57.29,72.47,2.8
141,Nikolskoye,0,RU,1536904800,87,59.7,30.79,53.6,13.42
142,Yellowknife,90,CA,1536904800,100,62.45,-114.38,32,6.93
143,Fortuna,75,ES,1536904800,94,38.18,-1.13,73.4,2.35
144,Butaritari,80,KI,1536906930,100,3.07,172.79,85.25,10.63
145,Cedar City,1,US,1536904380,6,37.68,-113.06,68,12.75
147,Geraldton,20,CA,1536904800,82,49.72,-86.95,62.6,10.29
148,Santa Isabel do Rio Negro,24,BR,1536906931,89,-0.41,-65.02,78.5,2.35
149,Mar del Plata,0,AR,1536906931,57,-46.43,-67.52,52.49,22.03
150,Paamiut,92,GL,1536906932,100,61.99,-49.67,37.55,4.59
151,Rawson,0,AR,1536906932,61,-43.3,-65.11,39.62,2.68
152,Bubaque,20,GW,1536904800,94,11.28,-15.83,77,4.25
153,Broome,0,GB,1536906000,76,52.47,1.45,55.4,6.93
154,Gasa,20,BT,1536906933,49,27.91,89.73,44.12,2.24
155,Wattegama,20,LK,1536906933,60,7.35,80.68,85.07,7.16
156,Victoria,90,BN,1536904800,74,5.28,115.24,87.8,4.7
157,Grindavik,0,IS,1536904800,75,63.84,-22.43,41,17.22
158,Galesong,40,ID,1536904800,46,-5.32,119.37,91.4,9.17
159,Anadyr,40,RU,1536904800,93,64.73,177.51,51.8,33.55
160,Grants,1,US,1536905700,8,35.15,-107.85,52.52,3.36
162,Cayenne,20,GF,1536904800,100,4.94,-52.33,73.4,2.24
163,Sayyan,0,YE,1536906936,26,15.17,44.32,76.16,3.58
164,Bhachau,88,IN,1536906936,67,23.3,70.35,85.52,13.98
165,Rome,0,IT,1536904500,82,41.89,12.48,69.8,3.36
166,Rapid Valley,1,US,1536905700,81,44.06,-103.15,62.24,3.36
167,Mogadishu,75,SO,1536904800,78,2.04,45.34,82.4,11.41
170,Camacari,40,BR,1536904800,69,-12.7,-38.32,77,10.29
172,Cherskiy,76,RU,1536906866,59,68.75,161.3,45.2,2.57
173,Naze,90,NG,1536901200,100,5.43,7.07,73.4,2.01
174,Sao Domingos,8,BR,1536906938,46,-13.4,-46.32,71.39,13.76
175,Klaksvik,92,FO,1536904200,93,62.23,-6.59,42.8,5.14
176,Carnarvon,0,ZA,1536906939,67,-30.97,22.13,36.47,4.25
177,Imbituba,75,BR,1536904800,93,-28.24,-48.67,64.4,3.36
178,Gat,12,SN,1536901200,94,14.69,-16.54,78.8,2.91
179,Ponta do Sol,56,BR,1536906940,96,-20.63,-46,58.61,2.24
180,Tura,92,IN,1536906855,93,25.52,90.21,80.66,2.35
181,Concarneau,0,FR,1536904800,100,47.88,-3.92,51.8,3.36
182,Zhanaozen,0,KZ,1536906940,22,43.35,52.85,74.45,13.09
183,Bandundu,68,CD,1536906941,99,-3.32,17.38,71.21,4.14
184,Saint George,0,GR,1536904200,64,39.45,22.34,68,3.36
185,Kikwit,0,CD,1536906941,96,-5.04,18.82,72.2,4.25
186,Tibati,92,CM,1536906942,100,6.47,12.63,64.73,2.68
189,Turukhansk,12,RU,1536906942,73,65.8,87.96,43.85,22.93
190,Emba,40,CY,1536904800,61,34.81,32.42,80.6,11.41
191,Santa Rita do Sapucai,44,BR,1536906943,97,-22.25,-45.7,57.26,7.38
192,Henties Bay,8,NA,1536906943,100,-22.12,14.28,53.12,2.46
193,Ligayan,0,PH,1536906943,96,4.65,119.47,85.34,16.44
194,Puerto Varas,75,CL,1536904800,100,-41.32,-72.98,42.8,5.82
195,Alice Springs,0,AU,1536904800,8,-23.7,133.88,89.6,13.87
196,Palana,92,RU,1536906944,97,59.08,159.95,43.49,6.82
197,Broken Hill,0,AU,1536906944,30,-31.97,141.45,77.96,13.53
198,Berezovyy,44,RU,1536906944,93,51.67,135.7,59.15,3.24
200,Denia,88,ES,1536906945,100,38.84,0.11,74.09,5.7
201,Saldanha,0,PT,1536906945,88,41.42,-6.55,52.22,3.58
202,San Juan,0,AR,1536906721,89,-31.54,-68.53,46.19,4.92
203,Nanortalik,92,GL,1536906946,100,60.14,-45.24,35.93,6.26
204,El Real de Santa Maria,76,PA,1536906947,100,8.11,-77.73,73.73,2.68
205,Sorland,75,NO,1536904200,81,67.67,12.69,50,20.8
207,Riyadh,56,SA,1536904800,7,24.63,46.72,98.6,5.82
208,Ngunguru,12,NZ,1536906948,95,-35.62,174.5,59.15,11.18
210,Half Moon Bay,90,US,1536904800,93,37.46,-122.43,60.98,8.05
211,Hami,0,CN,1536906948,84,42.84,93.51,58.25,3.13
213,Kawalu,8,ID,1536906949,58,-7.38,108.21,78.59,2.68
214,Mahebourg,40,MU,1536904800,61,-20.41,57.7,77,13.87
215,Pevek,92,RU,1536906910,90,69.7,170.27,48.62,9.06
216,Carauari,44,BR,1536906949,97,-4.88,-66.9,73.37,4.25
217,Aksu,0,KZ,1536904800,26,52.04,76.93,69.8,22.37
218,Ashoknagar,20,IN,1536906950,98,24.58,77.73,80.84,8.72
219,Birao,20,CF,1536906950,100,10.3,22.78,70.85,4.47
220,Boa Vista,40,BR,1536904800,88,2.82,-60.67,77,4.7
221,Dunedin,0,NZ,1536906692,81,-45.87,170.5,53.84,2.46
222,Santo Antonio do Sudoeste,92,BR,1536906952,98,-26.07,-53.73,62.84,4.81
223,Harper,90,US,1536904500,91,30.3,-99.24,73.94,6.6
224,Tenza,88,CO,1536906952,95,5.08,-73.42,64.37,1.9
225,Fuyu,0,CN,1536906953,77,47.79,124.46,71.12,6.93
226,Huangmei,8,CN,1536906953,83,30.1,115.95,86.15,4.36
227,Zyryanka,92,RU,1536906953,95,65.73,150.89,37.82,6.6
228,Orlik,24,RU,1536906954,58,52.51,99.83,35.21,6.38
229,Isangel,64,VU,1536906954,100,-19.55,169.27,74.18,17.9
230,Cape Town,75,ZA,1536904800,93,-33.93,18.42,53.6,9.17
231,Santa Marta,44,CO,1536906955,100,11.24,-74.21,81.11,7.05
232,Constitucion,0,MX,1536906924,64,23.99,-104.67,60.68,6.04
234,Tautira,20,PF,1536904800,69,-17.73,-149.15,78.8,3.36
236,Saint-Philippe,1,CA,1536904800,93,45.36,-73.48,64.4,2.24
237,Young,8,UY,1536906956,94,-32.7,-57.63,54.92,8.39
238,Satipo,12,PE,1536906956,88,-11.26,-74.64,64.37,1.79
239,La Sarre,0,CA,1536906742,84,48.8,-79.2,59.78,8.28
240,Ketrzyn,80,PL,1536906957,87,54.08,21.38,56.81,3.91
241,Puerto Colombia,75,CO,1536904800,100,10.99,-74.96,80.6,6.93
242,Thai Binh,80,VN,1536906958,87,20.45,106.33,85.07,6.6
244,Chaihe,0,CN,1536906958,60,44.77,129.68,72.47,4.7
245,Los Llanos de Aridane,0,ES,1536904800,94,28.66,-17.92,71.6,6.93
246,Uvalde,1,US,1536904500,92,29.21,-99.79,75.92,5.82
247,Mount Isa,0,AU,1536904800,13,-20.73,139.49,89.6,5.82
248,Arys,0,KZ,1536904800,23,42.43,68.8,73.4,8.95
251,La Ronge,90,CA,1536904800,100,55.1,-105.3,35.6,5.82
252,Kampong Chhnang,92,KH,1536906960,100,12.25,104.67,76.52,3.69
253,Springbok,0,ZA,1536903900,50,-29.67,17.88,53.6,2.24
254,Arlit,0,NE,1536906960,23,18.74,7.39,73.46,11.41
255,Aranos,0,NA,1536906961,23,-24.14,19.11,51.32,2.68
256,Komsomolskiy,92,RU,1536906877,100,67.55,63.78,45.74,9.62
257,Lompoc,1,US,1536904680,86,34.64,-120.46,57.02,3.36
258,Zhigansk,56,RU,1536906887,64,66.77,123.37,46.19,3.36
259,Atuona,12,PF,1536906962,100,-9.8,-139.03,79.4,17.78
260,Alcantara,92,PH,1536906962,100,9.97,123.41,76.88,22.03
261,Oss,0,NL,1536906540,100,51.77,5.51,46.4,1.12
262,Bontang,24,ID,1536906962,77,0.12,117.47,87.86,14.09
263,Alofi,64,NU,1536904800,88,-19.06,-169.92,71.6,12.75
264,Saint-Joseph,0,FR,1536904800,88,43.56,6.97,69.8,4.7
265,Luba,92,PH,1536906963,87,17.32,120.7,80.21,3.8
266,Kaitangata,44,NZ,1536906964,56,-46.28,169.85,57.35,14.76
267,Umea,0,SE,1536904200,93,63.83,20.26,48.2,3.36
268,Mughal Sarai,20,IN,1536906964,74,25.28,83.13,87.86,9.62
269,Shimoda,75,JP,1536904800,88,34.7,138.93,71.6,8.05
271,Emerald,0,AU,1536906965,27,-23.53,148.16,85.07,7.94
272,Deputatskiy,24,RU,1536906922,64,69.3,139.9,41.51,8.39
273,Petrykivka,0,UA,1536906600,68,48.71,34.62,69.8,8.95
274,Caibarien,40,CU,1536904200,94,22.52,-79.47,75.2,1.12
276,Faanui,92,PF,1536906966,100,-16.48,-151.75,80.03,13.53
277,Hasaki,75,JP,1536903000,78,35.73,140.83,77,4.7
278,Vao,0,EE,1536906967,81,59.1,26.19,54.74,7.94
280,Graham,90,US,1536906000,81,36.07,-79.4,77.18,17.22
281,Hofn,100,IS,1536906968,100,64.25,-15.21,45.38,6.93
282,Plettenberg Bay,0,ZA,1536906968,100,-34.05,23.37,58.52,16.78
283,Vila,75,IT,1536904500,93,45.18,8.4,66.2,2.24
284,Vredefort,0,ZA,1536906968,31,-27,27.37,51.95,3.02
285,Iqaluit,40,CA,1536904800,86,63.75,-68.52,30.2,4.7
286,Quatre Cocos,40,MU,1536904800,61,-20.21,57.76,77,13.87
287,Port Elizabeth,90,US,1536906120,100,39.31,-74.98,71.96,8.05
288,Severo-Kurilsk,36,RU,1536906871,84,50.68,156.12,55.91,7.61
289,Cabo Rojo,0,PR,1536906969,100,18.09,-67.15,80.75,16.78
290,Izobilnyy,0,RU,1536904800,40,45.37,41.71,73.4,13.42
291,Tyrma,0,RU,1536906970,60,50.04,132.17,64.19,7.38
292,Kalmanka,0,RU,1536904800,36,52.9,83.53,60.8,20.13
293,Coquimbo,90,CL,1536904800,81,-29.95,-71.34,53.6,2.24
295,Gbadolite,24,CD,1536906971,91,4.28,21,74.18,3.69
297,Vostok,0,RU,1536906971,76,46.45,135.83,63.11,4.7
298,Boundiali,24,CI,1536906972,94,9.53,-6.48,69.23,5.37
301,Torbat-e Jam,0,IR,1536906972,34,35.24,60.63,73.37,10.63
303,Vorukh,88,KG,1536906973,89,39.85,70.57,37.55,1.01
305,Vardo,90,US,1536905100,84,39.62,-77.74,73.94,6.93
306,Port Moresby,40,PG,1536904800,78,-9.47,147.16,80.6,18.34
307,Rio Gallegos,0,AR,1536904800,65,-51.62,-69.22,44.6,4.7
308,Delijan,0,IR,1536906974,28,33.99,50.69,74.63,3.58
309,Verkh-Usugli,56,RU,1536906974,73,52.7,115.17,46.64,6.93
310,Tongliao,56,CN,1536906975,72,43.61,122.27,80.03,14.88
311,Sola,75,NO,1536906000,81,58.89,5.65,55.4,6.93
313,Talaya,88,RU,1536906975,61,55.79,84.89,58.25,21.03
314,Otradnoye,0,RU,1536904800,87,59.77,30.8,53.6,13.42
317,Port-Cartier,5,CA,1536904800,93,50.03,-66.88,55.4,3.36
318,Luderitz,0,NA,1536906977,89,-26.65,15.16,49.88,10.85
319,Camocim,0,BR,1536906977,79,-2.9,-40.84,75.08,15.55
321,Balkhash,0,KZ,1536906977,85,46.84,74.98,62.3,9.95
323,Sistranda,75,NO,1536906000,81,63.73,8.83,50,12.75
324,Union,90,US,1536905040,93,47.36,-123.1,57.92,3.13
325,Solnechnyy,12,RU,1536906978,72,50.72,136.64,64.37,2.8
326,Pangai,75,TO,1536904800,83,-19.8,-174.35,73.4,17.22
327,Dehui,40,CN,1536901200,54,44.53,125.71,78.8,11.18
328,Verkhnevilyuysk,68,RU,1536906979,71,63.45,120.31,47,5.37
329,Praia da Vitoria,20,PT,1536904800,88,38.73,-27.07,71.6,10.85
331,Sorong,68,ID,1536906980,100,-0.86,131.25,82.19,9.4
332,Wonthaggi,0,AU,1536906980,47,-38.6,145.59,66.8,9.17
333,Souillac,0,FR,1536904800,82,45.6,-0.6,62.6,4.7
334,Markova,0,RU,1536904800,41,52.21,104.21,57.2,4.47
335,Sao Jose da Coroa Grande,80,BR,1536906981,81,-8.9,-35.15,73.55,8.72
336,Chuy,64,UY,1536906981,98,-33.69,-53.46,57.17,9.73
337,Port Blair,80,IN,1536906976,100,11.67,92.75,81.47,14.2
339,Shelburne,1,CA,1536904800,93,44.08,-80.2,69.8,8.72
340,La Libertad,0,PE,1536904800,24,-16.38,-71.56,48.2,5.82
341,Ouallam,20,NE,1536906983,76,14.32,2.08,72.47,10.51
342,Lata,8,IN,1536906983,95,30.78,78.62,63.92,1.9
343,Izacic,92,BA,1536906983,90,44.88,15.78,61.85,1.57
344,Kuusamo,75,FI,1536906000,93,65.96,29.19,48.2,10.29
345,Chazuta,0,PE,1536906984,92,-6.57,-76.13,73.19,0.67
346,Yabelo,88,ET,1536906984,74,4.89,38.09,69.14,5.03
347,Lasa,40,CY,1536904800,61,34.92,32.53,80.6,11.41
350,Puri,12,ID,1536906907,39,-7.54,112.45,88.67,10.18
351,Saint-Junien,90,FR,1536904800,100,45.89,0.9,57.2,5.82
352,Cabangahan,90,PH,1536904800,78,10.4,123.92,82.4,14.99
353,Belaya Gora,92,RU,1536906986,99,68.54,146.19,39.44,9.62
354,Salalah,90,OM,1536904200,78,17.01,54.1,78.8,9.17
355,Iracoubo,48,GF,1536906986,82,5.48,-53.21,78.14,5.14
356,Kommunar,0,RU,1536904800,87,59.62,30.39,53.6,13.42
357,Wuning,24,CN,1536906987,66,29.26,120.23,88.85,3.91
358,Tutoia,0,BR,1536906987,73,-2.76,-42.27,77.06,16.67
359,Bay Roberts,90,CA,1536904800,100,47.58,-53.28,50,8.05
360,Ipixuna,0,BR,1536904800,83,-1.76,-48.8,75.2,5.82
361,Sambava,92,MG,1536906988,100,-14.27,50.17,72.92,15.55
362,Rio Claro,8,BR,1536906988,88,-22.41,-47.56,63.02,11.18
363,Fort Frances,90,CA,1536904500,92,48.61,-93.4,69.08,5.82
364,Nome,1,US,1536905700,89,30.04,-94.42,78.98,4.7
365,High Rock,0,BS,1536906989,98,26.63,-78.28,84.35,8.39
366,Nexo,56,DK,1536906000,67,55.06,15.13,62.6,11.41
367,Leshukonskoye,92,RU,1536906990,90,64.9,45.76,51.59,5.7
368,Sinnamary,88,GF,1536906990,96,5.38,-52.96,81.83,13.42
369,Genhe,80,CN,1536906990,67,50.78,121.52,56.81,4.25
371,Xiamen,20,CN,1536904800,47,24.46,118.07,95,13.42
372,Bassar,20,TG,1536904800,100,9.26,0.78,71.6,2.24
373,Saint Anthony,1,US,1536904560,6,43.97,-111.68,57.92,3.02
374,Amahai,88,ID,1536906991,100,-3.31,129,78.59,6.6
375,Vigrestad,75,NO,1536904200,81,58.57,5.7,51.8,6.93
376,Antalaha,80,MG,1536906992,97,-14.9,50.28,71.84,8.72
377,Atbasar,32,KZ,1536906992,50,51.81,68.36,63.11,20.47
378,Bereda,75,ES,1536904800,93,43.27,-7.54,62.6,4.7
379,Palomares,0,ES,1536904800,87,40.39,-5.74,53.6,1.12
380,Ostersund,0,SE,1536904200,81,63.18,14.64,46.4,4.7
381,Garwa,8,IN,1536906993,100,27.63,81.51,84.71,4.7
383,Didsbury,75,CA,1536904800,92,51.66,-114.14,30.2,4.7
384,Arrifes,20,PT,1536904800,77,37.77,-25.7,69.8,3.36
385,Altamont,1,CA,1536905700,100,49.4,-98.5,53.6,9.95
386,Qaqortoq,92,GL,1536904200,86,60.72,-46.03,37.4,6.93
387,Asyut,0,EG,1536901200,46,27.18,31.19,73.4,2.24
388,Lagos,40,NG,1536904800,94,6.46,3.39,73.4,2.24
389,Codrington,0,AU,1536906992,65,-28.95,153.24,74.63,3.24
390,Englewood,1,US,1536904680,5,39.65,-104.99,78.8,8.05
391,Bridgetown,5,CA,1536904800,93,44.84,-65.29,53.6,4.47
392,Wagar,24,US,1536906996,96,31.44,-87.99,74.72,2.35
393,Watertown,1,US,1536905700,100,44.9,-97.12,75.02,8.05
394,Paragominas,24,BR,1536906997,92,-3,-47.35,70.67,3.8
395,Linkoping,0,SE,1536904200,81,58.41,15.62,53.6,10.29
397,Baykit,64,RU,1536906997,76,61.68,96.39,38.54,4.14
398,Khuzhir,68,RU,1536906998,82,53.19,107.35,47.9,11.18
399,Shingu,75,JP,1536901200,83,33.72,135.99,77,5.82
400,Shakawe,0,BW,1536906998,22,-18.36,21.84,64.1,5.59
401,Bismarck,1,US,1536904320,74,46.81,-100.78,55.04,4.7
402,Dubbo,0,AU,1536904800,11,-32.25,148.6,80.6,11.41
403,Tuatapere,0,NZ,1536906999,80,-46.13,167.69,54.65,15.1
404,Abalak,12,NE,1536906999,82,15.46,6.28,70.22,7.16
405,Huilong,12,CN,1536906999,69,28.89,110.18,82.37,3.02
406,Kamaishi,75,JP,1536904800,69,39.28,141.86,78.8,6.93
407,Romitan,0,UZ,1536904800,18,39.93,64.38,73.4,13.87
408,Andros Town,40,BS,1536901200,83,24.73,-77.79,78.8,5.82
409,Conceicao do Araguaia,12,BR,1536907001,88,-8.26,-49.26,70.31,2.68
410,Port Arthur,1,US,1536905700,89,29.9,-93.93,82.4,4.7
411,Halifax,5,CA,1536904800,93,44.65,-63.58,57.2,3.36
412,Sindal,75,DK,1536906000,93,57.48,10.2,53.6,6.93
415,Hangu,20,PK,1536906600,54,33.53,71.06,84.2,6.93
416,Springdale,1,US,1536904680,90,36.19,-94.13,71.06,5.82
417,Walla Walla,1,US,1536904560,42,46.06,-118.33,60.08,8.05
418,Yulara,0,AU,1536904800,6,-25.24,130.99,93.2,14.99
419,Sayat,0,TM,1536901200,18,38.78,63.88,73.4,6.93
420,Dongsheng,12,CN,1536907004,66,29.72,112.52,90.11,5.26
421,Bougouni,88,ML,1536907004,97,11.42,-7.49,70.67,7.38
422,Bundaberg,0,AU,1536907004,88,-24.87,152.35,71.39,9.4
424,Sept-Iles,5,CA,1536904800,93,50.2,-66.38,55.4,3.36
425,Kamenka,92,RU,1536907005,88,53.19,44.05,63.02,4.14
426,Avera,1,US,1536904500,82,33.19,-82.53,80.06,4.7
427,Moa,64,CU,1536907006,94,20.66,-74.95,73.64,2.57
